20-08-06 20:36:28.808 -05	0414	INF:	LogFluidicsPressurePerCycle start	-- AnalyticsRunManager.cs,	LogFluidicsPressurePerCycle,	358
20-08-06 20:36:28.809 -05	0414	TRC:	IX Tx (16001359): FCH {"IxType":"ix_oas_pressure_get","average":true,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_oas_pressure_get_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16001359} sent for gateway 62838430	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:36:29.018 -05	0175	INF:	Attempting to load interops for cycle 6	-- FlowcellContext.cs,	LoadMetricGroup,	2312
20-08-06 20:36:29.020 -05	0175	INF:	Interop Reading: File C:\ProgramData\Illumina\NovaSeq\NovaSeqTemp\200806_A00880_0241_AHNCTLDRXX\InterOp\C6.1\QMetricsOut.bin does not exist	-- FlowcellContext.cs,	LoadMetricGroup,	2321
20-08-06 20:36:29.021 -05	0175	INF:	Attempting to load interops for cycle 6	-- FlowcellContext.cs,	LoadMetricGroup,	2312
20-08-06 20:36:29.022 -05	0506	INF:	Attempting to load interops for cycle 6	-- FlowcellContext.cs,	LoadMetricGroup,	2312
20-08-06 20:36:29.024 -05	0506	INF:	Interop Reading: File C:\ProgramData\Illumina\NovaSeq\NovaSeqTemp\200806_A00880_0241_AHNCTLDRXX\InterOp\C6.1\TileMetricsOut.bin does not exist	-- FlowcellContext.cs,	LoadMetricGroup,	2321
20-08-06 20:36:29.049 -05	0506	INF:	InterOp Data: Cluster Density: 0, Estmated Yield: 0, Q30: NaN %	-- FlowcellContext.cs,	CalculateRunDataStatistic,	2380
20-08-06 20:36:29.050 -05	0506	INF:	Cycle 8 InterOp data update complete.	-- FlowcellContext.cs,	UpdateDataTask,	2263
20-08-06 20:36:29.313 -05	0194	TRC:	IX Rx (16001359): FCH {"IxType":"ix_oas_pressure_get_rsp","IxID":16001359,"value":4550,"Exception":"ix_exception_id_success","Message":""} for gateway 62838430	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:36:29.313 -05	0414	TRC:	IX Tx (16001369): FCH {"IxType":"ix_oas_pressure_get","average":true,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_oas_pressure_get_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16001369} sent for gateway 62838430	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:36:29.330 -05	0314	INF:	SequencingTemperatureReport.GetReadingDetailLine() end	-- SequencingTemperatureReport.cs,	GetReadingDetailLine,	202
20-08-06 20:36:29.817 -05	0314	TRC:	IX Rx (16001369): FCH {"IxType":"ix_oas_pressure_get_rsp","IxID":16001369,"value":4550,"Exception":"ix_exception_id_success","Message":""} for gateway 62838430	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:36:29.819 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #8 ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:36:29.821 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #8, CompleteCycleReuse ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:36:29.821 -05	0469	INF:	=================== Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:36:29.822 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #8, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:36:29.823 -05	0414	INF:	Recipe pump valve reagents are being used to override position 22 to recipe name B from machine location B	-- ChemistryItem.cs,	GetPumpValveSolutionKey,	88
20-08-06 20:36:29.828 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #8, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Changing common line to B 22 ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:36:29.828 -05	0414	TRC:	IX Tx (16001376): RCALeft {"IxType":"ix_valve_set_position","valve":"clsv","position":22,"ResponseType":"Illumina.Novaseq.IX.Rca.ix_valve_set_position_rsp, Illumina.Novaseq.IX.Rca, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16001376} sent for gateway 47887863	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:36:29.836 -05	0140	TRC:	IX Rx (16001376): RCALeft {"IxType":"ix_valve_set_position_rsp","IxID":16001376,"expected_counts":0,"actual_counts":0,"retry_count":0,"Exception":"ix_exception_id_success","Message":""} for gateway 47887863	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:36:29.837 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #8, CompleteCycleReuse, Set Valve States: 0 of 1 repeats ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:36:29.844 -05	0414	INF:	Recipe pump valve reagents are being used to override position 0 to recipe name SOUR1 from machine location SOUR1	-- ChemistryItem.cs,	GetPumpValveSolutionKey,	88
20-08-06 20:36:29.853 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #8, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Changing waste line to SOUR1 0 ===================	-- LogBridge.cs,	Log,	31
