20-08-06 20:44:40.558 -05	0414	INF:	LogFluidicsPressurePerCycle start	-- AnalyticsRunManager.cs,	LogFluidicsPressurePerCycle,	358
20-08-06 20:44:40.560 -05	0414	TRC:	IX Tx (16007466): FCH {"IxType":"ix_oas_pressure_get","average":true,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_oas_pressure_get_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007466} sent for gateway 62838430	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:40.761 -05	0117	INF:	Attempting to load interops for cycle 8	-- FlowcellContext.cs,	LoadMetricGroup,	2312
20-08-06 20:44:40.763 -05	0117	INF:	Interop Reading: File C:\ProgramData\Illumina\NovaSeq\NovaSeqTemp\200806_A00880_0241_AHNCTLDRXX\InterOp\C8.1\QMetricsOut.bin does not exist	-- FlowcellContext.cs,	LoadMetricGroup,	2321
20-08-06 20:44:40.764 -05	0117	INF:	Attempting to load interops for cycle 8	-- FlowcellContext.cs,	LoadMetricGroup,	2312
20-08-06 20:44:40.765 -05	0442	INF:	Attempting to load interops for cycle 8	-- FlowcellContext.cs,	LoadMetricGroup,	2312
20-08-06 20:44:40.767 -05	0442	INF:	Interop Reading: File C:\ProgramData\Illumina\NovaSeq\NovaSeqTemp\200806_A00880_0241_AHNCTLDRXX\InterOp\C8.1\TileMetricsOut.bin does not exist	-- FlowcellContext.cs,	LoadMetricGroup,	2321
20-08-06 20:44:40.791 -05	0442	INF:	InterOp Data: Cluster Density: 0, Estmated Yield: 0, Q30: NaN %	-- FlowcellContext.cs,	CalculateRunDataStatistic,	2380
20-08-06 20:44:40.792 -05	0442	INF:	Cycle 10 InterOp data update complete.	-- FlowcellContext.cs,	UpdateDataTask,	2263
20-08-06 20:44:41.063 -05	0394	TRC:	IX Rx (16007466): FCH {"IxType":"ix_oas_pressure_get_rsp","IxID":16007466,"value":4550,"Exception":"ix_exception_id_success","Message":""} for gateway 62838430	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.063 -05	0414	TRC:	IX Tx (16007467): FCH {"IxType":"ix_oas_pressure_get","average":true,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_oas_pressure_get_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007467} sent for gateway 62838430	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.567 -05	0588	TRC:	IX Rx (16007467): FCH {"IxType":"ix_oas_pressure_get_rsp","IxID":16007467,"value":4550,"Exception":"ix_exception_id_success","Message":""} for gateway 62838430	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.569 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10 ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.570 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.571 -05	0594	INF:	=================== Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.572 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.573 -05	0414	INF:	Recipe pump valve reagents are being used to override position 22 to recipe name B from machine location B	-- ChemistryItem.cs,	GetPumpValveSolutionKey,	88
20-08-06 20:44:41.577 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Changing common line to B 22 ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.578 -05	0414	TRC:	IX Tx (16007469): RCALeft {"IxType":"ix_valve_set_position","valve":"clsv","position":22,"ResponseType":"Illumina.Novaseq.IX.Rca.ix_valve_set_position_rsp, Illumina.Novaseq.IX.Rca, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007469} sent for gateway 47887863	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.585 -05	0442	TRC:	IX Rx (16007469): RCALeft {"IxType":"ix_valve_set_position_rsp","IxID":16007469,"expected_counts":0,"actual_counts":0,"retry_count":0,"Exception":"ix_exception_id_success","Message":""} for gateway 47887863	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.586 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Set Valve States: 0 of 1 repeats ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.591 -05	0414	INF:	Recipe pump valve reagents are being used to override position 0 to recipe name SOUR1 from machine location SOUR1	-- ChemistryItem.cs,	GetPumpValveSolutionKey,	88
20-08-06 20:44:41.595 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Set Valve States: 0 of 1 repeats, Changing waste line to SOUR1 0 ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.596 -05	0414	TRC:	IX Tx (16007470): FLU {"IxType":"ix_valve_set_position","valve":"wsv_side_a","position":0,"ResponseType":"Illumina.Novaseq.IX.Flu.ix_valve_set_position_rsp, Illumina.Novaseq.IX.Flu, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007470} sent for gateway 39979909	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.600 -05	0149	TRC:	IX Rx (16007470): FLU {"IxType":"ix_valve_set_position_rsp","IxID":16007470,"expected_counts":0,"actual_counts":0,"retry_count":0,"Exception":"ix_exception_id_success","Message":""} for gateway 39979909	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.601 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Set Valve States: 0 of 1 repeats ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.607 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.609 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats, Update Drift Corrector ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.615 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats, EnableFlowCellTemperatureAndWait ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.616 -05	0414	TRC:	IX Tx (16007471): FCH {"IxType":"ix_thermal_tgt_set","zone":"fc_left_back_top","milli_degrees_C":55000,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_thermal_no_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007471} sent for gateway 19467089	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.620 -05	0394	TRC:	IX Rx (16007471): FCH {"IxType":"ix_thermal_no_rsp","IxID":16007471,"Exception":"ix_exception_id_success","Message":""} for gateway 19467089	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.620 -05	0414	TRC:	IX Tx (16007472): FCH {"IxType":"ix_thermal_tgt_set","zone":"fc_left_mid_top","milli_degrees_C":55000,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_thermal_no_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007472} sent for gateway 19467089	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.624 -05	0329	TRC:	IX Rx (16007472): FCH {"IxType":"ix_thermal_no_rsp","IxID":16007472,"Exception":"ix_exception_id_success","Message":""} for gateway 19467089	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.624 -05	0414	TRC:	IX Tx (16007473): FCH {"IxType":"ix_thermal_tgt_set","zone":"fc_left_front_top","milli_degrees_C":55000,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_thermal_no_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007473} sent for gateway 19467089	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.628 -05	0117	TRC:	IX Rx (16007473): FCH {"IxType":"ix_thermal_no_rsp","IxID":16007473,"Exception":"ix_exception_id_success","Message":""} for gateway 19467089	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.628 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.637 -05	0414	INF:	Recipe reagents Local reagents-Production are being used to override position 14 to recipe name VSM from machine location VSM	-- ChemistryItem.cs,	GetReagentSolutionKey,	121
20-08-06 20:44:41.642 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats, DispenseCommand ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.643 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats, DispenseCommand, Dispense selecting [VSM, 14] ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.648 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats, DispenseCommand, Dispense selecting [VSM, 14], SetValvePosition ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.649 -05	0414	TRC:	IX Tx (16007474): RCALeft {"IxType":"ix_valve_set_position","valve":"reagent","position":14,"ResponseType":"Illumina.Novaseq.IX.Rca.ix_valve_set_position_rsp, Illumina.Novaseq.IX.Rca, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007474} sent for gateway 5777662	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.656 -05	0053	TRC:	IX Rx (16007474): RCALeft {"IxType":"ix_valve_set_position_rsp","IxID":16007474,"expected_counts":0,"actual_counts":0,"retry_count":0,"Exception":"ix_exception_id_success","Message":""} for gateway 5777662	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.656 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats, DispenseCommand, Dispense selecting [VSM, 14] ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.663 -05	0414	INF:	=================== Sequencing, Sequencing FC A, Read #1, Read1, Cycle #10, CompleteCycleReuse, Deblock: 0 of 1 repeats, DispenseCommand ===================	-- LogBridge.cs,	Log,	31
20-08-06 20:44:41.665 -05	0414	INF:	Dispense pressure sensor monitoring start	-- DispenseCommand.cs,	OnExecute,	75
20-08-06 20:44:41.665 -05	0414	TRC:	IX Tx (16007475): FLU {"IxType":"ix_flu_logger_start","sensor":"press1_A","ResponseType":"Illumina.Novaseq.IX.Flu.ix_flu_logger_no_rsp, Illumina.Novaseq.IX.Flu, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007475} sent for gateway 3403091	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.669 -05	0117	TRC:	IX Rx (16007475): FLU {"IxType":"ix_flu_logger_no_rsp","IxID":16007475,"Exception":"ix_exception_id_success","Message":""} for gateway 3403091	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.669 -05	0414	TRC:	IX Tx (16007476): FLU {"IxType":"ix_flu_logger_start","sensor":"press2_A","ResponseType":"Illumina.Novaseq.IX.Flu.ix_flu_logger_no_rsp, Illumina.Novaseq.IX.Flu, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007476} sent for gateway 3403091	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.673 -05	0329	TRC:	IX Rx (16007476): FLU {"IxType":"ix_flu_logger_no_rsp","IxID":16007476,"Exception":"ix_exception_id_success","Message":""} for gateway 3403091	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:44:41.673 -05	0414	TRC:	IX Tx (16007477): FLU {"IxType":"ix_flu_logger_start","sensor":"press3_A","ResponseType":"Illumina.Novaseq.IX.Flu.ix_flu_logger_no_rsp, Illumina.Novaseq.IX.Flu, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16007477} sent for gateway 3403091	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:44:41.677 -05	0394	TRC:	IX Rx (16007477): FLU {"IxType":"ix_flu_logger_no_rsp","IxID":16007477,"Exception":"ix_exception_id_success","Message":""} for gateway 3403091	-- IxGateway.cs,	NotifyListeners,	127
