20-08-06 20:39:40.394 -05	0469	INF:	Attempting to load interops for cycle 7	-- FlowcellContext.cs,	LoadMetricGroup,	2312
20-08-06 20:39:40.396 -05	0469	INF:	Interop Reading: File C:\ProgramData\Illumina\NovaSeq\NovaSeqTemp\200806_A00880_0241_AHNCTLDRXX\InterOp\C7.1\TileMetricsOut.bin does not exist	-- FlowcellContext.cs,	LoadMetricGroup,	2321
20-08-06 20:39:40.418 -05	0469	INF:	InterOp Data: Cluster Density: 0, Estmated Yield: 0, Q30: NaN %	-- FlowcellContext.cs,	CalculateRunDataStatistic,	2380
20-08-06 20:39:40.419 -05	0469	INF:	Cycle 9 InterOp data update complete.	-- FlowcellContext.cs,	UpdateDataTask,	2263
20-08-06 20:39:40.704 -05	0538	TRC:	IX Rx (16002831): FCH {"IxType":"ix_oas_pressure_get_rsp","IxID":16002831,"value":4550,"Exception":"ix_exception_id_success","Message":""} for gateway 62838430	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:40.704 -05	0414	TRC:	IX Tx (16002840): FCH {"IxType":"ix_oas_pressure_get","average":true,"ResponseType":"Illumina.Novaseq.IX.Fch_2.ix_oas_pressure_get_rsp, Illumina.Novaseq.IX.Fch_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002840} sent for gateway 62838430	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:40.994 -05	0357	TRC:	IX Rx (16002838): FIB {"IxType":"ix_lgm_no_rsp","IxID":16002838,"Exception":"ix_exception_id_success","Message":""} for gateway 31547926	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:40.994 -05	0550	INF:	SetPowerBlocking(Red, 720 mW, +/-5%, +/-50 mW, 240 seconds timeout: finished after 0.629 seconds	-- LaserProtocol.cs,	SetPowerBlocking,	219
20-08-06 20:39:40.996 -05	0314	INF:	SetPowerBlocking(Green, 1080 mW, +/-5%, +/-50 mW, 240 seconds timeout: finished after 0.627 seconds	-- LaserProtocol.cs,	SetPowerBlocking,	219
20-08-06 20:39:40.996 -05	0550	TRC:	IX Tx (16002841): FIB {"IxType":"ix_lgm_power_get","laser":"ix_lgm_laser_red","ResponseType":"Illumina.Novaseq.IX.Fib_2.ix_lgm_power_rsp, Illumina.Novaseq.IX.Fib_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002841} sent for gateway 31547926	-- IxGateway.cs,	SendJsonAsync,	565
20-08-06 20:39:40.996 -05	0538	TRC:	IX Rx (16002839): FIB {"IxType":"ix_lgm_no_rsp","IxID":16002839,"Exception":"ix_exception_id_success","Message":""} for gateway 46797803	-- IxGateway.cs,	NotifyListeners,	127
20-08-06 20:39:41.000 -05	0314	TRC:	IX Tx (16002842): FIB {"IxType":"ix_lgm_power_get","laser":"ix_lgm_laser_green","ResponseType":"Illumina.Novaseq.IX.Fib_2.ix_lgm_power_rsp, Illumina.Novaseq.IX.Fib_2, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null","IxID":16002842} sent for gateway 46797803	-- IxGateway.cs,	SendJsonAsync,	565
